000002,4
000005,4
000010,7
000140,5
000210,5
000211,5
000212,5
000213,7
000459,1
000534,5
000540,5
000546,5
000574,1
000602,5
000704,8
000705,8
000706,8
000707,8
000708,8
000709,8
000714,5
000715,5
000716,5
000718,5
000777,1
000814,5
000821,7
000822,7
000825,1
000853,8
000890,5
000892,5
000897,3
000993,1
000995,3
000997,3
000998,3
001069,3
001073,3
001075,3
001082,8
001083,3
001087,1
001102,1
001193,5
001195,5
001196,5
001197,5
001249,3
001259,3
001270,1
001276,3
001277,3
001278,3
001417,1
001427,1
001443,3
001482,2
001510,3
001544,5
001642,7
001644,7
001649,7
001661,7
001663,7
001666,7
001673,3
001680,8
001681,8
001682,8
001683,8
001684,8
001685,8
001686,8
001689,8
001701,5
001702,5
001703,5
001704,5
001706,1
001720,1
001732,3
001733,3
001735,3
001736,3
001883,1
001891,1
001893,5
001924,5
001925,5
001929,3
001930,1
002012,3
002096,3
002097,5
002099,7
003263,5
003264,5
003265,5
003270,5
003271,5
003272,5
003273,5
003274,5
003492,1
003533,7
003534,7
003535,7
003537,7
003573,2
003598,5
003624,1
003707,5
003708,5
003720,1
003721,1
003722,1
003724,1
003725,1
003761,1
003762,1
003763,1
003765,1
003910,5
003911,5
003913,5
003920,5
003921,5
003950,1
004013,5
004022,1
004037,5
004066,5
004067,5
004069,5
004070,8
004071,8
004072,8
004073,8
004074,8
004075,8
004076,8
004077,8
004078,8
004079,8
004080,8
004091,8
004092,8
004094,8
004095,8
004096,8
004097,8
004098,8
004099,8
004100,8
004101,8
004102,8
004103,8
004108,1
004232,8
004233,8
004234,8
004235,8
004236,8
004239,8
004450,5
004507,8
004508,8
004509,8
004510,8
004511,8
004519,2
004520,2
004521,2
004522,2
004682,4
004684,4
004685,4
004777,1
004778,1
004779,1
004780,1
004781,1
004782,1
004784,1
004785,1
004786,1
004787,1
004788,1
004799,1
004835,1
004836,1
004838,1
004846,8
004848,8
004849,8
005006,1
005157,5
005158,5
005159,5
005169,5
005170,5
005171,5
005191,7
005264,4
005268,4
005376,5
005381,5
005521,3
005936,5
005940,5
006329,8
006330,8
006331,8
006332,8
006333,8
006342,8
006354,8
006357,8
006358,8
006360,8
006363,8
006366,8
006367,8
006368,8
006370,8
006372,8
006373,8
006376,8
006379,8
006380,8
006382,8
006385,8
006387,8
006389,8
006390,8
006393,8
006394,8
006396,8
006406,5
006407,5
006439,4
006440,4
006442,4
006443,4
006448,4
006459,8
006461,5
006463,5
006467,5
006469,8
006603,4
006605,4
006606,4
006607,4
006608,4
006609,4
006610,4
006611,4
006762,5
006776,1
006778,1
006779,5
006782,5
006783,5
006788,1
006802,8
006803,8
006854,5
006855,5
006856,5
006857,5
007011,2
007373,3
007374,3
007375,3
007376,3
007377,3
007378,3
007379,3
007381,3
007383,3
007385,3
007386,3
007388,3
007393,3
007481,4
007482,4
007483,4
007487,4
007488,4
007489,4
007490,4
007491,4
007492,4
007495,1
007526,7
007528,7
007529,7
007548,3
007554,3
007709,5
007710,5
007711,5
007712,5
007713,5
007872,1
008056,1
008208,1
008256,5
008259,5
008261,5
008345,3
008357,3
008363,3
008372,3
008416,3
009152,3
009155,3
009307,3
009476,3
009477,3
009491,1
009505,3
009511,1
009512,8
009513,1
009553,1
009555,1
009557,1
009559,1
009560,1
009678,3
009721,3
010376,3
010381,5
010382,5
010383,5
010384,5
010385,5
010386,5
010387,5
010388,5
010389,5
010435,3
010438,5
010439,5
010440,5
010441,5
010442,5
010443,5
010444,5
010447,5
010458,5
010480,5
010481,5
010485,5
010521,3
010527,3
010535,3
010541,3
010575,5
010577,5
010668,1
010669,1
010670,1
010671,1
010672,1
010673,1
010674,1
010675,1
010676,1
010677,1
010678,5
010679,5
010682,5
010684,5
010693,4
010694,4
010695,4
010696,4
010697,4
010698,4
010699,4
010805,7
010806,7
010807,7
010808,7
010809,7
010810,7
010983,3
010992,5
010993,5
011019,3
011020,3
011059,5
011198,7
011199,7
